"datetime","city","state","country","shape","duration (seconds)","duration (hours/min)","comments","date posted","latitude","longitude"
"2014-02-11 14:00:00","deming","nm","us","changing","3600.0","1 hour","Shape-shifting/color changing object.","2014-02-14 00:00:00","32.2686111","-107.7580556"
"2005-04-16 22:00:00","defiance","oh","us","other","7200.0","2hrs","What we saw was a large circle of cloud perfectly centered around the moon.  ((NUFORC Note:  Possible &quot;Moon Dog.&quot;  PD))","2005-05-11 00:00:00","41.2844444","-84.3558333"
"2005-06-28 03:30:00","mississauga (canada)","on","ca","light","600.0","10 minutes","Five white lights seen in Southern Ontario sky","2005-09-02 00:00:00","43.15","-79.5"
"2004-03-08 08:00:00","los angeles","ca","us","other","2700.0","45 min","Dozens&#44 maybe 100 plane trails over San Fernando Valley and Sepulveda Pass&#44 Los Angeles  ((NUFORC Note:  Contrails??  PD))","2004-03-17 00:00:00","34.0522222","-118.2427778"
"2012-10-20 20:30:00","jackson","wi","us","fireball","600.0","10 minutes","Two Unidentified Objects observed over Washington County (Wisconsin)","2012-10-30 00:00:00","43.3238889","-88.1666667"
"1961-09-15 20:00:00","wahoo","ne","us","egg","300.0","5 minutes","Egg shaped craft near Wahoo&#44 NE","2007-02-01 00:00:00","41.2113889","-96.62"
"2004-08-20 11:00:00","tukwila/renton","wa","us","light","120.0","2 minutes","i saw four balls of light moving slowly. i turned my head to tell my friend and they were gone.same thin a few days later","2006-12-07 00:00:00","47.492483","-122.196438"
"2013-08-06 22:20:00","beaver","oh","us","fireball","120.0","2 minutes","Three fireballs in the sky in Beavercreek&#44 OH","2013-08-30 00:00:00","39.0305556","-82.8244444"
"2014-03-22 22:50:00","antelope","ca","us","other","900.0","15 minutes","Moving orange light of irregular shape over Antelope. CA.","2014-03-27 00:00:00","38.7083333","-121.3288889"
"2008-06-16 00:58:00","kitchener (canada)","on","ca","sphere","1.0","1 second","Bright white ball of light seen over Kitchener Ontario.","2008-07-05 00:00:00","43.45","-80.5"
"1999-08-15 20:30:00","bath","me","us","changing","120.0","2 minutes","A few years ago on my way to work&#44 at about 9:30 at night I observes while driving what appeared to be a huge air plane to my left. The","2005-10-20 00:00:00","43.9105556","-69.8211111"
"2010-11-05 03:00:00","leavenworth","ks","us","light","1800.0","30 minutes","Late night UFO excitement in the county","2010-11-21 00:00:00","39.3111111","-94.9222222"
"2010-08-06 05:00:00","bucks county (city not specified)","pa","us","light","45.0","30-45 sec.","Extremely bright stationary light that dimmed and traveled south.  ((NUFORC Note:  Witness amends report; satellites.  PD))","2010-08-24 00:00:00","40.410796","-75.247906"
"2003-06-09 22:00:00","hixson","tn","us","triangle","180.0","2-3 minutes","wish i didn&#39t hesitate on getting my camara.","2003-06-10 00:00:00","35.1405556","-85.2327778"
"1991-09-01 20:30:00","holloman afb","nm","us","oval","180.0","3 minutes","We were out side talking.  I noticed a star that was orange. Then it began to move at speeds and G&#39s thats humans can&#39t handle.","2000-02-27 00:00:00","32.8525","-106.106389"
"2003-04-27 22:30:00","lynnwood","wa","us","triangle","15.0","15 seconds","Three lights.  They one in front corrected itself by moving right and backwards to form a triangle.","2003-05-02 00:00:00","47.8211111","-122.3138889"
"2010-01-01 00:03:00","antioch","ca","us","other","1800.0","30 minuets","Objects in sky over Antioch California 12:03AM January 1&#44  2010","2010-02-14 00:00:00","38.005","-121.8047222"
"2011-10-07 21:35:00","lake geneva","wi","us","sphere","60.0","1 minute","Orange ball of light making no sound crosses sky in a south-to-north transit","2011-10-10 00:00:00","42.5916667","-88.4333333"
"2005-11-13 00:00:00","cottonwood","ca","us","other","180.0","2-3 minutes","BRIGHT LIGHT IN SKY&#44 APPEARS BEFORE OUR VERY EYES&#33","2005-12-16 00:00:00","40.3858333","-122.2797222"
"2007-09-14 00:00:00","sanford","fl","us","rectangle","120.0","2 minutes","Two oblong objects flying in formation near Orlando International Airport","2007-10-08 00:00:00","28.8002778","-81.2733333"
"2003-09-27 20:30:00","catskill/coxsackie","ny","us","triangle","180.0","3 minutes","Tirangular-shaped object hovered over New York State Thruway on September 27","2003-10-15 00:00:00","42.313763","-73.811731"
"2008-01-10 19:00:00","sarasota","fl","us","fireball","60.0","1 min","left home in sarasota florida about 7pm 1/10/08 saw in northwestern sky a object with long tail(orange&#44 fiery) going northeast very qui","2008-01-21 00:00:00","27.3361111","-82.5308333"
