"datetime","city","state","country","shape","duration (seconds)","duration (hours/min)","comments","date posted","latitude","longitude"
"2007-05-16 07:30:00","lovelock","nv","us","cigar","900.0","15 minutes","Yesterday a friend called to let us know he had been in SFO&#44CA and left on the 16 and tried to visit us but no answer to his call.We ch","2007-06-12 00:00:00","40.1794444","-118.4725"
"2008-05-07 00:15:00","holland","oh","us","circle","4.0","2-4 seconds","SPOTTED LARGE BALL OF WHITE LIGHT TRAVELING AT SLOWER SPEED THAN WHAT A SHOOTING STAR TRAVELS","2008-06-12 00:00:00","41.6216667","-83.7116667"
"2013-08-30 21:45:00","haymarket","va","us","light","30.0","30 sec","2 bright lights...","2013-09-09 00:00:00","38.8119444","-77.6366667"
"2012-07-24 21:06:00","brighton","mi","us","unknown","1.0","1 second","Streak of light like a reverse shooting star&#44 near horizon.","2012-08-05 00:00:00","42.5294444","-83.7802778"
"1973-08-15 21:00:00","south china (three mile pond)","me","us","sphere","1200.0","20 minutes","Bronze&#44 bright&#44 silent light moves south to east over a lake in Maine.","2012-07-04 00:00:00","44.3955556","-69.5716667"
"2004-08-18 21:00:00","plymouth","mn","us","oval","10.0","10 sec","side by side  reddish  very fast tip to tip flying surfboards in Minnesota.","2004-10-27 00:00:00","45.0105556","-93.4552778"
"2005-06-20 21:45:00","san francisco","ca","us","formation","900.0","15 minutes","Light Color Formation Shapes Changing","2005-07-05 00:00:00","37.775","-122.4183333"
"2005-09-28 23:00:00","bamfield (canada)","bc","ca","light","21600.0","6 houres","We watched a light for 6 houres drag somthing off Diana Island and ride it out over the hurison.","2008-10-31 00:00:00","48.833333","-125.15"
"2013-12-23 07:00:00","cape coral","fl","us","circle","3600.0","1 hour","White orange circle. ((NUFORC Note:  Possible contrails&#44 reflecting rising sun??  PD))","2014-01-10 00:00:00","26.5625","-81.9497222"
"2013-09-03 16:30:00","springdale","ar","us","sphere","120.0","2 minutes","Metallic sphere over Arkansas.","2013-09-09 00:00:00","36.1866667","-94.1286111"
"2011-08-13 22:40:00","buffalo","ny","us","fireball","240.0","4 minutes","three UFOs seen over Buffalo&#44 NY","2011-08-21 00:00:00","42.8863889","-78.8786111"
"2011-07-07 21:15:00","swindon (uk/england)","","gb","fireball","120.0","2 mins","07/07/11 21:15  Swindon   fireball/flame  travelled across night sky with no sound","2011-07-17 00:00:00","51.516667","-1.783333"
"2011-06-25 23:48:00","richardson","tx","us","triangle","2700.0","45 minutes","Triangle Craft With Intemittent White Green and Red lights","2011-06-27 00:00:00","32.9480556","-96.7294444"
"2011-05-08 22:30:00","bayfield","co","us","diamond","120.0","2 minutes","Diamond-shaped craft near Bayfield&#44 CO.","2011-05-12 00:00:00","37.2255556","-107.5975"
"2003-09-16 07:00:00","adrian","mi","us","oval","1.0","0:01","Object making no sound&#44 and near almost no obstructions&#44 dissapears after observer breaks gaze for a few seconds.","2003-09-17 00:00:00","41.8975","-84.0372222"
"1998-11-05 18:15:00","burbank","ca","us","fireball","1.0","1 second","Meteor Flash 90 degress down&#44 at about 2000 feet.","1998-11-19 00:00:00","34.1808333","-118.3080556"
"1985-10-25 22:00:00","north hollywood","ca","us","sphere","18000.0","5 hours apprx.","4 luminous white balls rotating above our house.","2001-08-05 00:00:00","34.1722222","-118.3780556"
"2011-02-18 19:10:00","sag harbor","ny","us","diamond","1800.0","30 minutes","Large boomerang craft escorted by two smaller craft","2011-02-23 00:00:00","40.9977778","-72.2930556"
"2012-09-30 04:00:00","dover","nh","us","cigar","38.0","38 seconds","Near pease Air Force base in Dover nh sand pits","2012-10-30 00:00:00","43.1977778","-70.8741667"
"2005-10-05 02:00:00","stuart","fl","us","unknown","7200.0","2 hours","not sure what i saw","2005-10-11 00:00:00","27.1972222","-80.2530556"
"2008-10-29 22:14:00","salisbury","nh","us","triangle","180.0","3 minutes","Second sighting in the same area.","2008-10-31 00:00:00","43.38","-71.7175"
"2003-10-13 19:12:00","phoenix","az","us","sphere","10.0","10 seconds","Please tell me that its no big deal because my nine year old son is scared stiff after seeing this&#33","2003-10-15 00:00:00","33.4483333","-112.0733333"
"2013-07-16 21:30:00","austintown","oh","us","circle","45.0","45 seconds","12 red light over austintown ohio","2013-07-22 00:00:00","41.1016667","-80.7647222"
"2011-05-06 09:15:00","lexington","ma","us","triangle","25.0","25 seconds","Triangular tumbling object with red grey shimmering light flying over highway 95 Lexington Mass morning May 6th 2011","2011-05-12 00:00:00","42.4472222","-71.225"
"2004-03-21 21:02:00","langford (uk/england)","","gb","triangle","300.0","5 minutes","Formation of three white pinpoints slowly crossing the night sky at very high altitude.  ((NUFORC Note:  NOSS satellites??  PD))","2004-03-23 00:00:00","52.05","-0.266667"
"2011-02-28 09:35:00","fresno","ca","us","oval","600.0","10 min","We were looking SouthEast when in the sky we saw around oval shape object that was changing color","2011-03-10 00:00:00","36.7477778","-119.7713889"
"1999-05-15 01:00:00","fair grove","mo","us","disk","300.0","5 minutes","2 saucers appeared to dance in the sky then drop and suddenly shoot straight up to the left and right then disappear","1999-06-23 00:00:00","37.3838889","-93.1511111"
"2013-10-08 20:00:00","ashfield","pa","us","light","180.0","3 minutes","A light appear in the sky out of nowhere and changed direction at a slow moving pace until it vanished.","2013-10-14 00:00:00","40.7844444","-75.7138889"
"2013-07-08 22:15:00","ocean city","md","us","circle","2.0","few seconds","Total of three balls of white light flying north to south.","2013-07-14 00:00:00","38.3363889","-75.0852778"
"2010-07-11 15:00:00","faaborg (denmark)","","dk","cigar","300.0","5 minutes","a cigar shaped object flying with no wings and no exhaust and no sound.","2010-07-19 00:00:00","55.104155","10.228725"
"1971-10-01 22:00:00","pasadena","ca","us","disk","180.0","3 min","Powerless over UFO sighting.","2004-01-17 00:00:00","34.1477778","-118.1436111"
"2009-07-22 21:30:00","avon","co","us","light","40.0","30-40 seconds","A very large bright light moving fromeast to west a a very high speed.","2009-08-05 00:00:00","39.6313889","-106.5216667"
"2008-05-17 21:00:00","hillsborough","nj","us","oval","45.0","45 seconds","Hovered/Still-Red &amp; gold pale blinking lights&#44 watched it for about 45 seconds then it just vanished&#44 not even a take off.","2008-06-12 00:00:00","40.4775","-74.6272222"
