"datetime","city","state","country","shape","duration (seconds)","duration (hours/min)","comments","date posted","latitude","longitude"
"1998-10-18 04:30:00","bettendorf","ia","us","sphere","420.0","5-7 min.","SOFT BALL SIZE FLOATING BALL OF LIGHT.  APPEARED TO BE UNDER SOME TYPE OF CONTROL.","1998-11-01 00:00:00","41.5244444","-90.5155556"
"2013-10-07 19:28:00","bryan","tx","us","cigar","1680.0","28 minutes","Witnessed 5 cigar shaped lights&#44 non blinking against sunset horizon moving north northwest.","2013-10-14 00:00:00","30.6741667","-96.3697222"
"2004-03-21 21:00:00","woodward","ok","us","other","14400.0","4 hours","Star looking object moving in zig zagging shapes and various speeds and Changing colors  ((NUFORC Note:  Sirius.  PD))","2004-03-23 00:00:00","36.4336111","-99.39"
"2003-09-14 21:00:00","east falmouth","ma","us","changing","1200.0","hour and a half","We saw a cigar shaped dim orange craft fly by ahead of us&#44 we also saw a flashing green and red star that moved across the sky.","2003-09-17 00:00:00","41.5783333","-70.5591667"
"2012-06-13 10:00:00","palm coast","fl","us","circle","480.0","6-8 minutes","Multicolored lighted circle moving extremely fast appears to be checking out RC jet at three different times during flight.","2012-07-04 00:00:00","29.5847222","-81.2080556"
"2008-09-10 14:00:00","portland","or","us","cylinder","900.0","15 min","gold cylindrical object with red top and bottom. Tumbles head over head at high altitiude.","2009-01-10 00:00:00","45.5236111","-122.675"
"2004-06-26 23:30:00","clarkston","mi","us","unknown","15.0","15 seconds","5 streaks of bright light tracking accross the sky. Like a falling star&#44 yet this continued accross the entire skyline until it disappe","2004-07-08 00:00:00","42.7358333","-83.4188889"
"2012-07-11 23:00:00","pasco","wa","us","unknown","180.0","3 minutes","UFO Near Lightning Storm","2012-08-05 00:00:00","46.2397222","-119.0994444"
"2004-05-15 06:45:00","ypsilanti","mi","us","disk","8.0","8 sec.","5 to 7 saucers move around a few seconds and take off at high rate of speed in same direction.","2006-07-16 00:00:00","42.2411111","-83.6130556"
"1990-06-01 22:00:00","fullerton","ca","us","disk","600.0","10 mins","already did this&#44 forgot witness form","2011-05-29 00:00:00","33.8702778","-117.9244444"
"2004-07-29 06:10:00","catheys valley","ca","us","other","300.0","5 min","Bright&#44 shining&#44slowly falling oject at dawn . Seemed to fall from space to earth.","2004-08-11 00:00:00","37.4325","-120.0969444"
"2000-12-28 17:51:00","monument valley","ut","us","other","20.0","20 sec.","Adult male driving in a remote area of Monument Valley&#44 southeastern UT&#44 observed a star-sized blue-white light describing a path with","2001-02-18 00:00:00","37.004245","-110.173478"
"2005-04-09 21:40:00","amesbury","ma","us","light","3600.0","60 mins+","blinking bright light greenish&#44 yellow&#44 red in NW sky on NH MA border.  ((NUFORC Note:  Possibly Sirius?  PD))","2005-04-16 00:00:00","42.8583333","-70.9305556"
"1976-07-15 20:00:00","silverthorne","co","us","disk","10.0","10 seconds","a light appeared to my left and a metalic object suddenly appeared&#44 saucer shaped","2007-02-01 00:00:00","39.6375","-106.0613889"
